payment_id,user_id,trial_started_at,trial_started_flag,trial_converted_to_paid,payment_date,payment_amount,subscription_plan,payment_status
1,6,2026-01-30 06:18:28,1,0,,14.99,monthly,failed
2,9,2026-01-19 02:11:58,1,0,,35.99,quarterly,failed
3,12,2026-02-02 04:03:14,1,0,,14.99,monthly,failed
4,13,2026-01-29 02:11:13,1,0,,14.99,monthly,failed
5,15,2026-01-28 06:43:50,1,1,2026-02-02 19:43:50,35.99,quarterly,paid
6,17,2026-01-24 08:23:47,1,0,,14.99,monthly,failed
7,24,2026-01-31 10:07:12,1,1,2026-02-10 18:07:12,14.99,monthly,paid
8,30,2026-01-23 21:54:46,1,0,,94.99,yearly,failed
9,38,2026-01-29 22:40:24,1,1,2026-02-04 12:40:24,35.99,quarterly,paid
10,42,2026-01-28 03:17:59,1,0,,14.99,monthly,failed
11,46,2026-02-02 10:02:41,1,1,2026-02-07 12:02:41,14.99,monthly,paid
12,59,2026-01-28 02:17:50,1,1,2026-02-03 11:17:50,14.99,monthly,paid
13,60,2026-01-28 05:41:02,1,0,,14.99,monthly,failed
14,63,2026-01-21 15:35:24,1,0,,14.99,monthly,failed
15,75,2026-01-27 08:04:59,1,1,2026-02-06 00:04:59,14.99,monthly,paid
16,78,2026-01-19 13:34:44,1,1,2026-01-29 12:34:44,35.99,quarterly,paid
17,79,2026-01-25 19:18:57,1,1,2026-02-04 10:18:57,14.99,monthly,paid
18,86,2026-01-27 10:42:29,1,0,,14.99,monthly,failed
19,87,2026-01-17 11:40:06,1,1,2026-01-30 19:40:06,14.99,monthly,paid
20,89,2026-01-29 22:16:49,1,0,,14.99,monthly,failed
21,93,2026-01-30 20:24:37,1,0,,14.99,monthly,failed
22,95,2026-01-31 18:25:11,1,1,2026-02-13 02:25:11,35.99,quarterly,paid
23,103,2026-01-30 10:23:55,1,0,,94.99,yearly,failed
24,104,2026-01-16 15:00:13,1,1,2026-01-30 08:00:13,94.99,yearly,paid
25,109,2026-01-23 08:23:57,1,1,2026-01-28 23:23:57,14.99,monthly,paid
26,111,2026-01-20 07:03:56,1,1,2026-01-25 13:03:56,14.99,monthly,paid
27,114,2026-01-24 12:14:15,1,1,2026-02-04 14:14:15,14.99,monthly,paid
28,115,2026-01-24 06:17:14,1,0,,14.99,monthly,failed
29,117,2026-01-17 06:12:10,1,1,2026-01-22 19:12:10,94.99,yearly,paid
30,120,2026-01-17 13:43:41,1,0,,14.99,monthly,failed
31,121,2026-01-23 08:21:44,1,0,,14.99,monthly,failed
32,126,2026-01-26 02:36:58,1,0,,14.99,monthly,failed
33,134,2026-01-25 00:09:23,1,1,2026-01-30 02:09:23,14.99,monthly,paid
34,137,2026-01-25 14:57:28,1,1,2026-01-30 22:57:28,14.99,monthly,paid
35,145,2026-02-02 09:00:27,1,0,,14.99,monthly,failed
36,149,2026-01-30 14:14:35,1,0,,35.99,quarterly,failed
37,150,2026-01-17 08:47:15,1,0,,94.99,yearly,failed
38,155,2026-01-22 18:12:04,1,1,2026-01-28 18:12:04,35.99,quarterly,paid
39,158,2026-01-24 20:16:08,1,1,2026-01-31 08:16:08,35.99,quarterly,paid
40,161,2026-02-01 17:24:41,1,1,2026-02-12 01:24:41,35.99,quarterly,paid
41,162,2026-01-28 01:02:23,1,0,,35.99,quarterly,failed
42,164,2026-01-23 17:48:21,1,1,2026-01-31 18:48:21,94.99,yearly,paid
43,167,2026-01-22 04:03:21,1,1,2026-01-31 14:03:21,35.99,quarterly,paid
44,170,2026-01-15 20:15:59,1,1,2026-01-29 08:15:59,94.99,yearly,paid
45,173,2026-01-28 16:47:36,1,1,2026-02-06 12:47:36,14.99,monthly,paid
46,174,2026-01-28 23:43:21,1,1,2026-02-09 13:43:21,14.99,monthly,paid
47,182,2026-01-17 16:08:36,1,1,2026-01-27 04:08:36,14.99,monthly,paid
48,185,2026-01-24 12:12:55,1,0,,14.99,monthly,failed
49,186,2026-01-23 06:01:54,1,0,,94.99,yearly,failed
50,187,2026-01-18 13:48:55,1,1,2026-01-24 09:48:55,14.99,monthly,paid
51,191,2026-01-26 17:56:59,1,1,2026-02-08 04:56:59,14.99,monthly,paid
52,196,2026-01-16 14:45:40,1,0,,14.99,monthly,failed
53,198,2026-01-18 17:08:47,1,1,2026-01-25 13:08:47,14.99,monthly,paid
54,201,2026-01-21 19:26:07,1,0,,35.99,quarterly,failed
55,202,2026-01-31 02:42:03,1,1,2026-02-11 05:42:03,35.99,quarterly,paid
56,204,2026-01-27 11:28:49,1,1,2026-02-10 08:28:49,14.99,monthly,paid
57,217,2026-01-17 02:20:07,1,0,,14.99,monthly,failed
58,222,2026-01-24 05:57:24,1,1,2026-01-31 11:57:24,35.99,quarterly,paid
59,223,2026-01-28 20:14:42,1,0,,14.99,monthly,failed
60,225,2026-01-28 13:25:10,1,0,,14.99,monthly,failed
61,226,2026-01-20 21:49:49,1,1,2026-01-26 15:49:49,14.99,monthly,paid
62,227,2026-01-29 22:56:00,1,0,,14.99,monthly,failed
63,228,2026-01-26 15:19:17,1,0,,35.99,quarterly,failed
64,230,2026-01-19 20:07:23,1,0,,94.99,yearly,failed
65,245,2026-01-25 22:31:41,1,0,,35.99,quarterly,failed
66,246,2026-01-18 02:27:11,1,0,,35.99,quarterly,failed
67,247,2026-01-29 15:03:18,1,0,,14.99,monthly,failed
68,249,2026-01-29 20:02:58,1,1,2026-02-08 11:02:58,14.99,monthly,paid
69,255,2026-01-26 19:31:27,1,1,2026-02-05 21:31:27,35.99,quarterly,paid
70,256,2026-01-17 23:57:57,1,1,2026-01-31 10:57:57,14.99,monthly,paid
71,259,2026-01-19 17:28:31,1,0,,14.99,monthly,failed
72,266,2026-01-26 08:04:22,1,0,,14.99,monthly,failed
73,267,2026-01-24 02:23:29,1,0,,14.99,monthly,failed
74,284,2026-01-23 12:12:30,1,1,2026-01-28 21:12:30,14.99,monthly,paid
75,286,2026-01-31 16:37:59,1,0,,14.99,monthly,failed
76,288,2026-01-25 23:15:54,1,0,,14.99,monthly,failed
77,289,2026-01-25 23:14:08,1,1,2026-02-08 11:14:08,14.99,monthly,paid
78,293,2026-01-31 20:08:21,1,0,,14.99,monthly,failed
79,295,2026-01-24 08:21:42,1,0,,14.99,monthly,failed
80,298,2026-01-23 10:04:33,1,1,2026-02-05 17:04:33,35.99,quarterly,paid
81,302,2026-01-30 02:07:37,1,0,,14.99,monthly,failed
82,303,2026-01-15 07:02:44,1,1,2026-01-25 03:02:44,14.99,monthly,paid
83,306,2026-01-19 05:13:17,1,1,2026-01-26 04:13:17,14.99,monthly,paid
84,311,2026-01-26 23:43:24,1,1,2026-02-07 02:43:24,14.99,monthly,paid
85,315,2026-01-20 00:30:01,1,1,2026-02-01 14:30:01,14.99,monthly,paid
86,316,2026-01-26 10:02:39,1,0,,94.99,yearly,failed
87,317,2026-01-27 13:57:38,1,1,2026-02-05 03:57:38,35.99,quarterly,paid
88,319,2026-01-31 19:00:52,1,0,,14.99,monthly,failed
89,320,2026-01-29 06:36:29,1,0,,14.99,monthly,failed
90,322,2026-01-18 10:57:29,1,0,,35.99,quarterly,failed
91,323,2026-01-26 04:46:27,1,1,2026-02-02 22:46:27,14.99,monthly,paid
92,325,2026-02-01 13:51:48,1,0,,14.99,monthly,failed
93,327,2026-01-20 05:28:25,1,0,,94.99,yearly,failed
94,329,2026-01-19 07:38:05,1,0,,14.99,monthly,failed
95,333,2026-01-20 07:27:42,1,0,,14.99,monthly,failed
96,339,2026-01-19 22:43:02,1,0,,35.99,quarterly,failed
97,340,2026-01-31 13:46:58,1,1,2026-02-13 04:46:58,14.99,monthly,paid
98,342,2026-01-20 16:41:40,1,0,,14.99,monthly,failed
99,343,2026-01-26 13:43:07,1,1,2026-01-31 14:43:07,94.99,yearly,paid
100,345,2026-01-31 14:27:25,1,0,,14.99,monthly,failed
101,350,2026-01-18 21:09:35,1,0,,94.99,yearly,failed
102,352,2026-01-16 12:19:24,1,0,,94.99,yearly,failed
103,359,2026-01-18 11:05:56,1,0,,94.99,yearly,failed
104,360,2026-01-28 18:25:55,1,0,,14.99,monthly,failed
105,361,2026-01-30 16:01:20,1,0,,14.99,monthly,failed
106,362,2026-01-31 10:26:36,1,0,,35.99,quarterly,failed
107,365,2026-01-17 01:19:12,1,0,,14.99,monthly,failed
108,370,2026-01-28 12:58:51,1,0,,14.99,monthly,failed
109,373,2026-01-22 10:22:11,1,0,,14.99,monthly,failed
110,376,2026-01-17 10:32:32,1,1,2026-01-28 03:32:32,14.99,monthly,paid
111,380,2026-01-19 22:05:02,1,1,2026-02-02 10:05:02,35.99,quarterly,paid
112,381,2026-01-15 15:09:55,1,1,2026-01-25 16:09:55,14.99,monthly,paid
113,384,2026-01-19 21:18:57,1,1,2026-01-25 20:18:57,14.99,monthly,paid
114,386,2026-01-18 05:05:06,1,0,,14.99,monthly,failed
115,387,2026-01-17 05:35:53,1,0,,94.99,yearly,failed
116,389,2026-01-31 22:53:59,1,1,2026-02-13 20:53:59,94.99,yearly,paid
117,392,2026-01-19 08:08:29,1,1,2026-01-30 11:08:29,14.99,monthly,paid
118,393,2026-01-22 22:49:16,1,1,2026-02-04 11:49:16,35.99,quarterly,paid
119,395,2026-01-28 10:43:48,1,0,,35.99,quarterly,failed
120,400,2026-01-21 01:36:43,1,0,,14.99,monthly,failed
121,401,2026-02-02 16:11:43,1,1,2026-02-16 14:11:43,14.99,monthly,paid
122,402,2026-01-29 18:10:52,1,0,,14.99,monthly,failed
123,416,2026-01-27 00:29:05,1,1,2026-02-08 07:29:05,14.99,monthly,paid
