session_id,user_id,session_start,session_end,session_duration_sec,session_number,days_since_registration,lessons_started,lessons_completed,screens_viewed
1,1,2026-01-16 19:19:00,2026-01-16 19:20:55,115,1,0,0,0,5
2,1,2026-01-18 18:28:00,2026-01-18 18:34:40,400,2,2,1,0,5
3,2,2026-01-28 22:45:00,2026-01-28 22:50:57,357,1,0,2,0,10
4,2,2026-01-31 17:08:00,2026-01-31 17:14:18,378,2,3,1,1,6
5,3,2026-01-26 18:35:00,2026-01-26 18:41:15,375,1,0,1,1,3
6,3,2026-01-27 10:36:00,2026-01-27 10:44:20,500,2,1,0,0,5
7,3,2026-01-27 15:43:00,2026-01-27 15:52:07,547,3,1,0,0,5
8,3,2026-02-01 22:07:00,2026-02-01 22:15:32,512,4,6,3,2,6
9,4,2026-01-22 11:58:00,2026-01-22 12:04:18,378,1,0,0,0,6
10,4,2026-01-23 19:43:00,2026-01-23 19:44:08,68,2,1,1,0,5
11,5,2026-01-22 09:10:12,2026-01-22 09:16:34,382,1,0,1,0,3
12,6,2026-01-29 14:27:00,2026-01-29 14:39:27,747,1,0,1,1,3
14,6,2026-01-29 21:04:00,2026-01-29 21:12:01,481,3,0,0,0,2
13,6,2026-01-29 22:41:00,2026-01-29 22:50:55,595,2,0,4,3,7
15,6,2026-01-30 11:28:00,2026-01-30 11:35:29,449,4,1,1,1,4
16,6,2026-01-30 19:36:00,2026-01-30 19:47:20,680,5,1,2,2,5
17,6,2026-02-01 12:59:00,2026-02-01 13:10:15,675,6,3,4,1,6
18,7,2026-01-16 13:01:56,2026-01-16 13:04:26,150,1,0,1,0,4
19,7,2026-01-17 22:30:00,2026-01-17 22:31:30,90,2,1,2,0,7
20,7,2026-01-19 18:17:00,2026-01-19 18:22:20,320,3,3,1,1,4
21,7,2026-01-20 10:11:00,2026-01-20 10:12:56,116,4,4,1,1,5
22,7,2026-01-23 13:12:00,2026-01-23 13:15:55,235,5,7,1,0,9
24,8,2026-01-26 21:13:00,2026-01-26 21:16:14,194,2,0,0,0,6
23,8,2026-01-26 22:04:00,2026-01-26 22:10:29,389,1,0,2,0,2
