user_id,registration_date,country,device_type,acquisition_channel,language_level,goal_type,motivation_type,onboarding_version,experiment_period,trial_started_flag,paid_flag
1,2026-01-16 12:24:51,Netherlands,ios,blog,beginner,self_development,high,old,before_change,0,0
2,2026-01-28 03:46:26,Poland,ios,referral,beginner,work,medium,old,before_change,0,0
3,2026-01-26 03:03:54,Germany,android,paid_search,elementary,travel,medium,old,before_change,0,0
4,2026-01-22 11:03:44,Germany,android,instagram_ads,beginner,travel,medium,old,before_change,0,0
5,2026-01-22 08:40:12,Spain,ios,instagram_ads,intermediate,work,medium,old,before_change,0,0
6,2026-01-29 14:18:28,Poland,ios,organic,intermediate,exam,medium,old,before_change,1,0
7,2026-01-16 11:03:56,Netherlands,android,referral,beginner,travel,low,old,before_change,0,0
8,2026-01-26 20:31:34,Poland,ios,tiktok_ads,elementary,self_development,medium,old,before_change,0,0
9,2026-01-18 10:11:58,Spain,android,tiktok_ads,beginner,travel,high,old,before_change,1,0
10,2026-01-16 14:25:27,Germany,ios,organic,beginner,self_development,low,old,before_change,0,0
11,2026-01-23 22:48:12,Brazil,ios,organic,beginner,self_development,low,old,before_change,0,0
12,2026-01-31 14:03:14,Germany,android,referral,beginner,travel,high,old,before_change,1,0
13,2026-01-27 12:11:13,Poland,android,organic,elementary,self_development,medium,old,before_change,1,0
14,2026-01-27 22:32:41,Germany,ios,organic,elementary,exam,medium,old,before_change,0,0
15,2026-01-27 04:43:50,Spain,android,instagram_ads,elementary,self_development,high,old,before_change,1,1
16,2026-01-28 08:42:51,Brazil,ios,tiktok_ads,elementary,work,high,old,before_change,0,0
17,2026-01-23 17:23:47,Brazil,android,organic,elementary,self_development,high,old,before_change,1,0
18,2026-01-17 04:16:13,Netherlands,ios,organic,elementary,work,medium,old,before_change,0,0
19,2026-01-29 06:37:02,Spain,ios,referral,intermediate,travel,high,old,before_change,0,0
20,2026-01-22 15:45:26,Italy,android,blog,elementary,self_development,high,old,before_change,0,0
21,2026-01-23 12:08:36,Poland,android,instagram_ads,beginner,self_development,high,old,before_change,0,0
22,2026-01-21 07:17:08,Poland,android,referral,elementary,travel,medium,old,before_change,0,0
23,2026-01-18 02:28:48,Netherlands,android,paid_search,elementary,work,low,old,before_change,0,0
24,2026-01-30 18:07:12,Netherlands,android,tiktok_ads,beginner,self_development,medium,old,before_change,1,1
25,2026-01-28 06:52:46,Netherlands,android,instagram_ads,intermediate,work,high,old,before_change,0,0
26,2026-01-25 22:41:49,Spain,ios,referral,intermediate,work,low,old,before_change,0,0
27,2026-01-21 20:11:06,Spain,android,referral,intermediate,travel,low,old,before_change,0,0
28,2026-01-28 23:41:12,Netherlands,android,paid_search,beginner,work,high,old,before_change,0,0
29,2026-01-24 06:32:06,Germany,android,organic,beginner,work,low,old,before_change,0,0
30,2026-01-22 12:54:46,Germany,android,referral,beginner,exam,medium,old,before_change,1,0
31,2026-01-22 15:47:14,Poland,android,organic,intermediate,work,high,old,before_change,0,0
32,2026-01-18 20:42:48,Germany,ios,tiktok_ads,elementary,exam,medium,old,before_change,0,0
33,2026-01-16 13:35:29,Brazil,ios,instagram_ads,elementary,travel,medium,old,before_change,0,0
34,2026-01-24 10:16:14,Netherlands,android,organic,intermediate,self_development,low,old,before_change,0,0
35,2026-01-30 02:15:32,Germany,ios,tiktok_ads,beginner,travel,medium,old,before_change,0,0
36,2026-01-16 02:02:14,Italy,android,instagram_ads,beginner,exam,medium,old,before_change,0,0
37,2026-01-29 14:10:58,Germany,ios,referral,elementary,self_development,low,old,before_change,0,0
38,2026-01-29 01:40:24,Italy,ios,organic,beginner,self_development,high,old,before_change,1,1
39,2026-01-19 16:55:04,Poland,android,organic,elementary,travel,medium,old,before_change,0,0
40,2026-01-25 17:43:08,Germany,ios,organic,beginner,self_development,medium,old,before_change,0,0
41,2026-01-17 19:24:48,Germany,android,paid_search,elementary,travel,high,old,before_change,0,0
42,2026-01-27 21:17:59,Spain,ios,tiktok_ads,intermediate,travel,medium,old,before_change,1,0
43,2026-01-26 21:48:48,Spain,android,paid_search,beginner,self_development,low,old,before_change,0,0
44,2026-01-21 00:38:47,Germany,android,organic,elementary,travel,medium,old,before_change,0,0
45,2026-01-16 03:42:40,Italy,android,blog,intermediate,work,medium,old,before_change,0,0
46,2026-01-31 12:02:41,Germany,ios,organic,beginner,self_development,high,old,before_change,1,1
47,2026-01-22 13:50:25,Poland,ios,paid_search,elementary,travel,medium,old,before_change,0,0
48,2026-01-30 04:23:36,Germany,android,referral,intermediate,self_development,medium,old,before_change,0,0
49,2026-01-26 12:35:27,Italy,android,tiktok_ads,beginner,work,low,old,before_change,0,0
50,2026-01-28 05:34:49,Germany,android,paid_search,beginner,work,low,old,before_change,0,0
51,2026-01-27 22:02:20,Spain,android,blog,beginner,work,high,old,before_change,0,0
52,2026-01-18 07:24:45,Brazil,android,instagram_ads,beginner,work,low,old,before_change,0,0
53,2026-01-21 04:28:25,Germany,android,organic,beginner,self_development,low,old,before_change,0,0
